sample_id,filename,direction,ssim,psnr,mse,mae,rmse
mri_000,chaos_mri_IMG-0004-00063_slice_000,MRI->CT->MRI,0.918147243193619,25.982952346705723,0.0025217658857622244,0.019119475036859512,0.05021718715501919
mri_001,chaos_mri_IMG-00007-0059_slice_000,MRI->CT->MRI,0.9377242051705197,26.931675102103682,0.0020269007798987184,0.018246566876769066,0.045021114822921905
mri_002,chaos_mri_IMG-0018-00020_slice_000,MRI->CT->MRI,0.9326430275039673,32.59998378970582,0.0005495429250547334,0.011425374075770378,0.02344233190309218
mri_003,chaos_mri_IMG-0016-00027_slice_000,MRI->CT->MRI,0.9201835129558933,26.20459130602276,0.0023962982434188413,0.020759310573339462,0.048951999381218754
mri_004,chaos_mri_IMG-0013-00050_slice_000,MRI->CT->MRI,0.844291672567606,30.421985296689577,0.0009074056316960026,0.017530450597405434,0.030123174329675196
mri_005,chaos_mri_IMG-0006-00038_slice_000,MRI->CT->MRI,0.8760935665608645,32.28577215799164,0.0005907759186720282,0.01370188221335411,0.02430588238826207
mri_006,chaos_mri_IMG-0004-00026_slice_000,MRI->CT->MRI,0.9098619587829113,30.226644960029617,0.0009491514247786233,0.017002997919917107,0.030808301231626246
mri_007,chaos_mri_IMG-0061-00004_slice_000,MRI->CT->MRI,0.9233121820874214,30.348538330808104,0.0009228819816839727,0.013818318024277687,0.030378972689740064
mri_008,chaos_mri_IMG-0003-00033_slice_000,MRI->CT->MRI,0.8817951907879412,24.93326589559706,0.003211244773548183,0.029326247051358223,0.056667846028838814
mri_009,chaos_mri_IMG-0078-00021_slice_000,MRI->CT->MRI,0.9113433274670839,29.818391117394526,0.001042703636705014,0.014992792159318924,0.032290921893080325
mri_010,chaos_mri_IMG-0034-00031_slice_000,MRI->CT->MRI,0.8816429210636616,25.481699293242052,0.0028302843547125985,0.03060157224535942,0.05320041686596636
mri_011,chaos_mri_IMG-00007-0087_slice_000,MRI->CT->MRI,0.8954627960641012,25.502290863697876,0.0028168966520618144,0.02261749655008316,0.053074444434791916
mri_012,chaos_mri_IMG-00007-0079_slice_000,MRI->CT->MRI,0.9301402627148032,26.643064354767006,0.002166175125810933,0.019785165786743164,0.04654218651729776
